Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0oTn50RyTgQFjBb3yZ6Xz9,0.0954,0.621,153680,0.668,0,0,0.114,-5.15,1,0.046,163.901,4,0.685,2
2u7Do6hFnQ2omiek0effYE,0.00819,0.253,177640,0.967,1.60E-05,2,0.651,-5.509,1,0.176,166.729,3,0.342,1
0Z4sLeMzXoN0WFU6d12KQf,0.466,0.489,367973,0.424,7.01E-06,10,0.659,-9.471,1,0.0296,91.866,4,0.251,1
0dwCrCUcssGQyZPbt3OBjj,0.855,0.164,237500,0.0798,0.95,7,0.115,-25.069,1,0.0368,83.774,3,0.0953,1
2LyfGpVEYxx0VEYp07l577,0.109,0.415,207636,0.54,0.00138,2,0.0817,-9.187,1,0.0321,98.324,4,0.148,2
0LCNC3bpy3wGaBR8otzRuS,0.0827,0.831,154225,0.311,0,5,0.0927,-8.12,1,0.0546,100.113,4,0.388,2
1LLXZFeAHK9R4xUramtUKw,0.0246,0.695,190240,0.71,0.000104,1,0.133,-6.639,1,0.05,157.925,4,0.557,3
770F4ulWaBUCahoko29w0w,0.00908,0.474,239147,0.857,0.00278,9,0.193,-5.36,1,0.0356,127.005,4,0.727,2
3mhLnZNg2efKBLPxH5xaKr,0.0422,0.71,234721,0.695,0,0,0.205,-4.458,1,0.344,171.141,4,0.642,2
3mMpLkkVjO69cEo5E2wq4Y,0.0194,0.784,240027,0.628,0,1,0.12,-5.982,1,0.367,96.599,4,0.346,2
1cXXhzPnbrXjNQYbLdUJdy,0.923,0.55,150200,0.271,0,5,0.147,-11.836,1,0.0495,130.155,4,0.521,2
5RhPNWj5NCJO0rYYpvban5,0.968,0.224,116800,0.315,0,9,0.33,-15.896,1,0.0346,85.594,5,0.229,2
0b6UoVjUzFyZNpHI0aAhKt,0.269,0.362,206499,0.714,0,9,0.21,-3.07,0,0.0835,67.4,4,0.309,3
1LBPpEo866w3j8r9DaHM8G,0.0106,0.36,187578,0.873,0.0173,9,0.107,-5.112,0,0.0687,203.983,4,0.379,1
3IcflVxokiQYxY78drmBQQ,0.000987,0.637,228813,0.515,2.69E-05,9,0.226,-7.461,1,0.0245,100.026,4,0.626,1
5ZOEulH7fvK4ZkMLTOyKL0,0.268,0.502,95267,0.309,0.279,6,0.127,-11.389,1,0.0601,169.522,1,0.18,2
3xXqCXtvwbNCmc98uIgylF,0.0121,0.569,240120,0.846,0.00142,0,0.447,-5.798,1,0.0629,94.983,4,0.534,1
5fKaBcU59vpD1g5v2fKyxD,0.382,0.601,204411,0.792,7.77E-05,1,0.13,-6.74,1,0.134,124.077,4,0.434,1
2I2HYr4FLb6LPfdgcKxK2J,0.321,0.705,177913,0.554,9.26E-06,10,0.978,-9.628,0,0.0551,80.042,4,0.611,2
0uFNdjWpogmaJYp2zlNJj5,0.0116,0.734,203175,0.836,0,6,0.106,-5.953,0,0.0817,100.022,4,0.214,2
1rxdUBOPEon0w1oXrTxsvc,0.25,0.802,220259,0.663,0,4,0.0748,-7.443,0,0.0621,119.982,4,0.108,2
5Am6tsnSF2olM1bPpOdZRu,0.755,0.651,118400,0.346,0,11,0.115,-8.113,1,0.0332,134.93,4,0.593,2
3rREcqxfjNnDXHqr6bq77W,0.0717,0.753,201027,0.754,0.31,10,0.253,-6.97,1,0.0371,107.995,4,0.528,2
7KK4d7xfH6WjUuK1kPL8E2,0.145,0.865,135516,0.649,0,2,0.104,-8.05,0,0.349,113.245,5,0.22,3
0xeYgM5UfwXZ1JEdT2MkhQ,0.0137,0.416,85120,0.807,1.99E-05,9,0.113,-7.144,1,0.0812,102.774,4,0.2,2
2VS1jveuhfU7Latlgfh62T,0.00323,0.541,197413,0.986,0,0,0.105,-5.315,1,0.103,96.954,4,0.484,2
5jzlpxx0MLrj9V6Py0zLNm,0.311,0.631,205714,0.722,0,1,0.153,-3.031,1,0.0324,105.045,3,0.443,2
3bNjKlhgAPc2R31KNqem4m,0.288,0.704,242906,0.757,0,0,0.351,-3.312,0,0.0483,91.999,4,0.532,2
