Track ID,accousticness,danceability,duration,energy,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
5ijb2CEc9OijzEaWbwWsUv,0.289,0.737,156680,0.427,0.027,10,0.427,0.136,-7.664,1,0.0302,87.998,4,0.465,21
3M6ZtOd0Z5qs9uVhCq40HQ,0.266,0.444,278493,0.577,0,7,0.577,0.131,-6.653,1,0.0321,70.013,4,0.247,37
4Zpq56sTzSWbeO03WL6XBp,0.622,0.66,246304,0.333,0.0494,11,0.333,0.136,-7.698,1,0.0418,142.152,4,0.778,44
4bXo5s1XC6w9tLyOKykxSz,0.542,0.506,195547,0.441,0.000537,2,0.441,0.109,-7.911,1,0.0506,198.814,3,0.507,55
3t3uissQlq7Sqc4pFUzVq7,0.000639,0.583,147744,0.85,4.85e-05,0,0.85,0.362,-3.759,1,0.057,132.068,4,0.728,37
7j2Xi42Tc6jH9Q2UCiyB2a,0.868,0.663,101760,0.211,0.00289,2,0.211,0.111,-10.411,1,0.0302,74.414,4,0.652,12
5hk61Ob5f0kKxKoOGbroMm,0.000266,0.38,204933,0.982,0.000309,0,0.982,0.366,-3.287,1,0.15,161.095,4,0.168,38
5DL2L5OuyZg1v2OWRAitFD,0.187,0.68,144280,0.657,0,2,0.657,0.324,-4.85,1,0.188,81.0,4,0.23,50
0BGJ4AgJvuR27frlUrfSRX,0.113,0.512,294999,0.647,0.000124,7,0.647,0.116,-9.069,1,0.0716,100.061,4,0.294,18
64qslzOgpkyEg1CJTS4fyP,0.121,0.805,298013,0.777,0.000492,4,0.777,0.0731,-5.482,0,0.102,96.906,4,0.926,21
1t18idTmPA3sWLxYUWwesw,0.0119,0.522,220827,0.725,0,5,0.725,0.332,-4.856,1,0.169,200.365,4,0.747,39
66S5GLFgrgOi1TiTNG04Z1,0.000249,0.461,253373,0.924,0.827,9,0.924,0.146,-2.379,0,0.0392,119.001,4,0.482,40
6HguG9HRb1Ke1bhihfE4m8,0.0495,0.664,225956,0.524,8.18e-06,2,0.524,0.075,-5.178,1,0.0283,91.027,4,0.475,68
77RELpz9xsUoCVPl61UccM,0.316,0.552,193464,0.659,0,11,0.659,0.108,-6.276,0,0.362,105.854,3,0.241,25
13P5uyaevSUZ9kGiDCSjux,0.000588,0.503,375072,0.846,0.000468,8,0.846,0.118,-7.305,1,0.0452,129.983,4,0.128,22
2tn5aNweqOO4D4pdjuWsx6,0.000942,0.375,218723,0.806,0.0625,7,0.806,0.15,-6.437,1,0.0392,157.013,4,0.499,33
6cPnE82DKBLd7sg02ZNg8K,0.00807,0.766,168495,0.703,0,10,0.703,0.0618,-5.877,0,0.163,163.06,4,0.331,58
2Yl4OmDby9iitgNWZPwxkd,0.0256,0.82,210787,0.568,0,6,0.568,0.0952,-8.23,0,0.411,152.279,4,0.535,70
4FZOSDwALdWxcGcRbwXWJ8,0.142,0.422,204290,0.471,0,3,0.471,0.112,-8.784,0,0.18,82.433,4,0.62,62
6Eb9Ry9jYIHlsFXudEbkog,0.0124,0.545,229755,0.695,3.11e-06,11,0.695,0.0843,-6.003,0,0.0414,153.05,4,0.296,49
71GAvRsilpo9pqd0vYn8Mo,0.107,0.803,174200,0.705,3.6e-06,10,0.705,0.147,-5.316,1,0.0624,90.995,4,0.49,64
1kJRhf3fN7TzhAAr9IIDW1,0.0746,0.486,290838,0.331,0.398,9,0.331,0.157,-12.233,0,0.0279,85.057,3,0.0351,15
16x9bQHw8TBNaGDyULvwad,0.976,0.356,99658,0.143,1.89e-05,9,0.143,0.111,-15.148,1,0.0388,75.522,4,0.334,68
65vkndutcGr6l4JVLVu5Vk,0.000462,0.614,244316,0.768,4.45e-06,2,0.768,0.202,-8.451,0,0.0312,124.002,4,0.51,40
3tld41qK6W6xBMea9WIhLC,0.0274,0.729,189000,0.982,0.106,1,0.982,0.278,-3.028,1,0.0634,126.024,4,0.404,45
