Of Mice & Men,Earthandsky
Opeth,In Cauda Venenum
Pitbull,Libertad 548
Push Baby,Woah
Steel Panther,Heavy Metal Rules
Sturgill Simpson,Sound & Fury
Temples,Hot Motion
Tegan and Sara,"Hey, I'm Just Like You"
Kim Petras,Turn Off the Light
Chromatics,Closer to Grey
Nick Cave and the Bad Seeds,Ghosteen
Akon,El Negreeto
Angel Olsen,All Mirrors
The Avett Brothers,Closer Than Together
City and Colour,A Pill for Loneliness
Danny Brown,U Know What I'm Sayin?
Dermot Kennedy,Without Fear
DIIV,Deceiver
Flying Colors,Third Degree
King Calaway,Rivers
Lagwagon,Railer
The Menzingers,Hello Exile
Mika,My Name Is Michael Holbrook
Summer Walker,Over It
Swim Deep,Emerald Classics
Mike Posner,Keep Going
88rising,Head in the Clouds II
Babymetal,Metal Galaxy
Big Thief,Two Hands
Blanco Brown,Honeysuckle & Lightning Bugs
Blue Hawaii,Open Reduction Internal Fixation
The Dead South,Sugar & Joy
The Devil Wears Prada,The Act
Elbow,Giants of All Sizes
Lacuna Coil,Black Anima
Lil' Kim,9
Lil Tjay,True 2 Myself
Spyro Gyra,Vinyl Tap
Wale,Wow... That's Crazy
YK Osiris,The Golden Child
YoungBoy Never Broke Again,AI YoungBoy 2
Raury,Fervent
Becky G,Mala Santa
Ali Barter,"Hello, I'm Doing My Best"
Alter Bridge,Walk the Sky
Battles,Juice B Crypts
Berhana,Han
Caroline Polachek,Pang
Chris Janson,Real Friends
Clipping,There Existed an Addiction to Blood
Dream State,Primrose Path
Electric Guest,Kin
Foals,Everything Not Saved Will Be Lost – Part 2
Gucci Mane,Woptober II
James Arthur,You
Jessica Mauboy,Hilda
Maddie & Tae,Everywhere I'm Goin'
Skylar Grey,Angel with Tattoos
"Sufjan Stevens, Timo Andres",The Decalogue
Thandi Phoenix,Thandi Phoenix
Yungblud,The Underrated Youth
Gryffin,Gravity
Airbourne,Boneshaker
Akon,Akonda
Armin van Buuren,Balance
Bad Wolves,Nation
Brooke Candy,Sexorcism
Cigarettes After Sex,Cry
Deathprod,Occulting Disk
Gallant,Sweet Insomnia
Grace Potter,Daylight
James Blunt,Once Upon a Mind
Kanye West,Jesus Is King
King Princess,Cheap Queen
Leprous,Pitfalls
Negativland,True False
Old Dominion,Old Dominion
Ringo Starr,What's My Name
Saint Asonia,Flawed Design
Stereophonics,Kind
Swans,Leaving Meaning
Archie Roach,Tell Me Why
Cold War Kids,New Age Norms 1
Gang Starr,One of the Best Yet
Highly Suspect,MCID
Hootie & the Blowfish,Imperfect Circle
Jeff Lynne's ELO,From Out of Nowhere
Michael Kiwanuka,Kiwanuka
Miranda Lambert,Wildcard
New Politics,An Invitation to an Alternate Reality
Nicky Jam,Íntimo
Pabllo Vittar,111 1
Sultan & Shepard,Echoes of Life: Day
Hana,Hanadriel
Doja Cat,Hot Pink
Audien,Escapism
Bishop Briggs,Champion
FKA Twigs,Magdalene
The Flower Kings,Waiting for Miracles
Jason Derulo,2Sides (Side 1)
Luke Combs,What You See Is What You Get
The Script,Sunsets & Full Moons
Simply Red,Blue Eyed Soul
Sultan & Shepard,Echoes of Life: Night
Zucchero,D.O.C.
Koda Kumi,Re(cord)
Celine Dion,Courage
Dillon Francis,Magic Is Real
Ezhel and Ufo361,Lights Out
Kensington,Time
Lady Antebellum,Ocean
Lil Peep,Everybody's Everything
Liz,Planet Y2K
Madeon,Good Faith
Milky Chance,Mind the Moon
Paul Kelly,Songs from the South: 1985–2019
Tindersticks,No Treasure but Hope
Tory Lanez,Chixtape 5
Westlife,Spectrum
Tinashe,Songs for You
Action Bronson and The Alchemist,Lamb over Rice
Beck,Hyperspace
Coldplay,Everyday Life
Grateful Dead,Ready or Not
Hannah Diamond,Reflections
Jason Aldean,9
José Luis Perales,Mirándote a los Ojos
Labrinth,Imagination & the Misfit Kid
Lindemann,F & M
Robbie Williams,The Christmas Present
Sodom,Out of the Frontline Trench
Tiziano Ferro,Accetto Miracoli
Trippie Redd,A Love Letter to You 4
Various artists,This Warm December: A Brushfire Holiday Vol. 3
Jimmy Barnes,Modus Operandi
Maruv,Hellcat Story
New Riders of the Purple Sage,Thanksgiving in New York City
Ozuna,Nibiru
Ozzy Osbourne,See You on the Other Side
Prong,Age of Defiance
Iggy Azalea,Wicked Lips
Band-Maid,Conqueror
Burial,Tunes 2011–2019
Camila Cabello,Romance
The Chainsmokers,World War Joy
Cold Chisel,Blood Moon
Fat Joe and Dre,Family Ties
French Montana,Montana
Kylie Minogue,Golden Live in Concert
Liam Payne,LP1
Peter Ulrich,Final Reflections
Roddy Ricch,Please Excuse Me for Being Antisocial
The Who,Who
XXXTentacion,Bad Vibes Forever
American Football,Year One Demos
Blake Shelton,Fully Loaded: God's Country
City Morgue,City Morgue Volume 2: As Good as Dead
Duster,Duster
Free Nationals,Free Nationals
Harry Styles,Fine Line
Pink Floyd,The Later Years
Stormzy,Heavy Is the Head
Gucci Mane,East Atlanta Santa 3
Julianna Barwick,Circumstance Synthesis
Ariana Grande,K Bye for Now (SWT Live)
Sunday Service,Jesus Is Born
Bring Me the Horizon,Music to Listen To…
JackBoys and Travis Scott,JackBoys
